CreationTime,InsertionTime,CreationDate,CreationHour,ReceivingHost,ProductsReceived,BytesReceived,Latency,CountyCode,StateCode,State
20180628152012,20180628152012,0628,15,uva,7155,3874416117,0.1795,29203,44,VA
20180628152027,20180628152027,0628,15,uva,1325,399503903,0.033313,29203,44,VA
20180628152124,20180628152124,0628,15,uva,1330,401125452,0.560315,29203,44,VA
20180628152126,20180628152128,0628,15,uva,7205,3935307486,1.786777,29203,44,VA
20180628152255,20180628152256,0628,15,uva,7297,4037045076,0.766784,29203,44,VA
20180628152255,20180628152255,0628,15,uva,1345,406763011,0.565994,29203,44,VA
20180628152343,20180628152343,0628,15,uva,7355,4110665232,0.160423,29203,44,VA
20180628152359,20180628152359,0628,15,uva,1350,409647092,0.065375,29203,44,VA
20180628152435,20180628152436,0628,15,uva,11,3354984,0.735032,29203,44,VA
20180628152444,20180628152445,0628,15,uva,7456,4228849051,0.508385,29203,44,VA
20180628152527,20180628152527,0628,15,uva,1357,413143684,0.09454,29203,44,VA
20180628152630,20180628152630,0628,15,uva,1373,415250443,0.203343,29203,44,VA
20180628152644,20180628152645,0628,15,uva,7488,4241950863,0.266489,29203,44,VA
20180628152719,20180628152719,0628,15,uva,1374,415260544,0.023201,29203,44,VA
20180628152751,20180628152751,0628,15,uva,7526,4245642751,0.028953,29203,44,VA
20180628152841,20180628152841,0628,15,uva,14,3483822,0.168175,29203,44,VA
20180628152842,20180628152842,0628,15,uva,2058,448100587,0.060943,29203,44,VA
20180628152854,20180628152854,0628,15,uva,8285,4298584050,0.054276,29203,44,VA
20180628152947,20180628152947,0628,15,uva,19,4226761,0.401899,29203,44,VA
20180628153001,20180628153001,0628,15,uva,9343,4427006672,0.149621,29203,44,VA
20180628153007,20180628153007,0628,15,uva,2880,487958502,0.022936,29203,44,VA
20180628153125,20180628153125,0628,15,uva,3588,527956272,0.125793,29203,44,VA
20180628153130,20180628153130,0628,15,uva,10311,4568842938,0.034815,29203,44,VA
20180628153243,20180628153243,0628,15,uva,20,4645856,0.200374,29203,44,VA
20180628153256,20180628153256,0628,15,uva,4069,556818601,0.196377,29203,44,VA
20180628153257,20180628153257,0628,15,uva,11063,4682025683,0.149336,29203,44,VA
20180628153257,20180628153257,0628,15,uva,21,4890539,0.164206,29203,44,VA
20180628153408,20180628153409,0628,15,uva,13554,4910294851,0.114491,29203,44,VA
20180628153408,20180628153408,0628,15,uva,5680,613737807,0.109233,29203,44,VA
20180628153521,20180628153521,0628,15,uva,6509,671759056,0.146371,29203,44,VA
20180628153522,20180628153522,0628,15,uva,14837,5095451180,0.147445,29203,44,VA
20180628153626,20180628153626,0628,15,uva,7355,721488646,0.041053,29203,44,VA
20180628153626,20180628153627,0628,15,uva,15883,5213447699,0.043517,29203,44,VA
20180628153740,20180628153740,0628,15,uva,22,4915122,0.141734,29203,44,VA
20180628153751,20180628153752,0628,15,uva,17317,5457027641,0.100409,29203,44,VA
20180628153751,20180628153751,0628,15,uva,8073,766456009,0.093832,29203,44,VA
20180628153917,20180628153917,0628,15,uva,18475,5636447420,0.269228,29203,44,VA
20180628153921,20180628153921,0628,15,uva,8855,816407983,0.072503,29203,44,VA
20180628154008,20180628154008,0628,15,uva,25,4988060,0.23386,29203,44,VA
20180628154033,20180628154033,0628,15,uva,9670,866412599,0.069782,29203,44,VA
20180628154034,20180628154034,0628,15,uva,19792,5845911284,0.121006,29203,44,VA
20180628154124,20180628154125,0628,15,uva,27,5069634,0.19284,29203,44,VA
20180628154135,20180628154135,0628,15,uva,10525,888749042,0.153592,29203,44,VA
20180628154137,20180628154141,0628,15,uva,20812,6043725025,3.743538,29203,44,VA
20180628154246,20180628154247,0628,15,uva,31,5749895,0.285985,29203,44,VA
20180628154252,20180628154253,0628,15,uva,22398,6257698493,0.109712,29203,44,VA
20180628154252,20180628154252,0628,15,uva,11754,964179109,0.104241,29203,44,VA
20180628154357,20180628154357,0628,15,uva,33,5783299,0.128359,29203,44,VA
20180628154401,20180628154402,0628,15,uva,23615,6490583382,0.127842,29203,44,VA
20180628154401,20180628154401,0628,15,uva,12457,1014331986,0.131453,29203,44,VA
20180628154450,20180628154450,0628,15,uva,34,6279127,0.215045,29203,44,VA
20180628154504,20180628154504,0628,15,uva,24950,6660123124,0.56284,29203,44,VA
20180628154504,20180628154505,0628,15,uva,13360,1070215705,0.293288,29203,44,VA
20180628154508,20180628154509,0628,15,uva,36,6347860,0.142994,29203,44,VA
20180628154615,20180628154615,0628,15,uva,14461,1140741261,0.047158,29203,44,VA
20180628154616,20180628154616,0628,15,uva,26548,6884018726,0.031742,29203,44,VA
20180628154640,20180628154640,0628,15,uva,38,6877226,0.156976,29203,44,VA
20180628154718,20180628154719,0628,15,uva,27521,7085538950,0.143276,29203,44,VA
20180628154718,20180628154718,0628,15,uva,15041,1183872620,0.205785,29203,44,VA
20180628154748,20180628154748,0628,15,uva,40,7087970,0.108593,29203,44,VA
20180628154836,20180628154837,0628,15,uva,28901,7326915087,0.213717,29203,44,VA
20180628154836,20180628154836,0628,15,uva,15849,1247003398,0.135143,29203,44,VA
20180628154851,20180628154851,0628,15,uva,41,7096454,0.10455,29203,44,VA
20180628154948,20180628154948,0628,15,uva,30481,7543058495,0.081923,29203,44,VA
20180628154948,20180628154949,0628,15,uva,17025,1318475465,0.085932,29203,44,VA
20180628155112,20180628155112,0628,15,uva,18099,1384504091,0.072754,29203,44,VA
20180628155114,20180628155115,0628,15,uva,32154,7824583333,0.740344,29203,44,VA
20180628155115,20180628155116,0628,15,uva,44,7233843,0.489547,29203,44,VA
20180628155209,20180628155209,0628,15,uva,49,8137367,0.234328,29203,44,VA
20180628155240,20180628155240,0628,15,uva,18991,1442196172,0.148305,29203,44,VA
20180628155243,20180628155244,0628,15,uva,33463,8104340719,0.154213,29203,44,VA
20180628155317,20180628155318,0628,15,uva,80,8538355,0.155503,29203,44,VA
20180628155344,20180628155345,0628,15,uva,35909,8308397948,0.136466,29203,44,VA
20180628155344,20180628155344,0628,15,uva,20525,1482427747,0.114904,29203,44,VA
20180628155446,20180628155447,0628,15,uva,36403,8542126065,0.165177,29203,44,VA
20180628155446,20180628155446,0628,15,uva,20681,1507907624,0.130266,29203,44,VA
20180628155608,20180628155608,0628,15,uva,21160,1555904420,0.416364,29203,44,VA
20180628155609,20180628155609,0628,15,uva,85,8724876,0.342355,29203,44,VA
20180628155616,20180628155617,0628,15,uva,37303,8852993718,1.07672,29203,44,VA
20180628155637,20180628155638,0628,15,uva,87,8799253,0.524354,29203,44,VA
20180628155716,20180628155716,0628,15,uva,21320,1579111713,0.10333,29203,44,VA
20180628155719,20180628155720,0628,15,uva,37733,9077151750,0.671349,29203,44,VA
20180628155819,20180628155819,0628,15,uva,21827,1610225813,0.26027,29203,44,VA
20180628155820,20180628155821,0628,15,uva,38682,9286287699,0.789497,29203,44,VA
20180628155831,20180628155831,0628,15,uva,88,8863126,0.277704,29203,44,VA
20180628155946,20180628155946,0628,15,uva,22390,1673334894,0.03092,29203,44,VA
20180628155950,20180628155951,0628,15,uva,39661,9557923452,0.56959,29203,44,VA
20180628155959,20180628160000,0628,15,uva,39795,9588018423,0.661727,29203,44,VA
20180628155959,20180628160000,0628,15,uva,22479,1681203080,0.997295,29203,44,VA
20180628160103,20180628160104,0628,16,uva,3,191565,0.295916,29203,44,VA
20180628160121,20180628160122,0628,16,uva,1102,248111274,0.08648,29203,44,VA
20180628160121,20180628160121,0628,16,uva,687,43044292,0.058118,29203,44,VA
20180628160225,20180628160226,0628,16,uva,2150,463178936,0.698435,29203,44,VA
20180628160225,20180628160225,0628,16,uva,1171,77021148,0.091051,29203,44,VA
20180628160225,20180628160225,0628,16,uva,10,382927,0.294628,29203,44,VA
20180628160327,20180628160327,0628,16,uva,21,829343,0.128518,29203,44,VA
20180628160344,20180628160345,0628,16,uva,2139,140082675,0.804406,29203,44,VA
20180628160346,20180628160347,0628,16,uva,3665,713608888,0.130424,29203,44,VA
20180628160453,20180628160453,0628,16,uva,26,992610,0.296405,29203,44,VA
20180628160458,20180628160458,0628,16,uva,3083,192131486,0.061532,29203,44,VA
20180628160458,20180628160459,0628,16,uva,5034,931487826,0.255799,29203,44,VA
20180628160553,20180628160553,0628,16,uva,29,1158378,0.262052,29203,44,VA
20180628160605,20180628160606,0628,16,uva,3845,247632872,0.27141,29203,44,VA
20180628160608,20180628160608,0628,16,uva,6102,1147064897,0.217314,29203,44,VA
20180628160653,20180628160653,0628,16,uva,30,1678628,0.20991,29203,44,VA
20180628160729,20180628160730,0628,16,uva,7622,1405472159,0.2295,29203,44,VA
20180628160729,20180628160729,0628,16,uva,4765,311033565,0.135311,29203,44,VA
20180628160831,20180628160831,0628,16,uva,31,1740004,0.271842,29203,44,VA
20180628160849,20180628160849,0628,16,uva,5356,350857041,0.588653,29203,44,VA
20180628160850,20180628160850,0628,16,uva,8573,1646181932,0.046317,29203,44,VA
20180628160947,20180628160947,0628,16,uva,35,2451418,0.245593,29203,44,VA
20180628161017,20180628161018,0628,16,uva,5980,392390653,0.436513,29203,44,VA
